Issue#,Category,Checklist_Status,Actual_Status,Severity,Files_Affected,Description,Action_Required
20,Configuration,VERIFIED,VERIFIED,OK,docker/postgres/extensions.manifest.json,Extension manifest properly categorized and organized,None
21,Configuration,VERIFIED,VERIFIED,OK,docker/postgres/docker-auto-config-entrypoint.sh,Auto-config memory allocation formulas all verified correct,None
22,Configuration,FIXED,FIXED,OK,docker/postgres/docker-auto-config-entrypoint.sh,CPU sanity check added with clamping 1-128,None
23,Configuration,VERIFIED,VERIFIED,OK,docker/postgres/configs/,All hardcoded values are appropriate PG18-optimized defaults,None
24,Configuration,VERIFIED,VERIFIED,OK,docker/postgres/configs/,No config drift between stacks detected,None
25,Configuration,VERIFIED,VERIFIED,OK,docker/postgres/configs/postgresql-base.conf,All PG18 optimizations verified implemented,None
26,Security,VERIFIED,VERIFIED,OK,All,SCRAM-SHA-256 authentication verified in use,None
27,Security,VERIFIED,VERIFIED,OK,docker/postgres/docker-entrypoint-initdb.d/02-replication.sh,PgBouncer auth function SECURITY DEFINER verified correct,None
28,Security,VERIFIED,VERIFIED,OK,docker/postgres/docker-entrypoint-initdb.d/02-replication.sh,Connection limits per role verified correct,None
29,Security,VERIFIED,VERIFIED,OK,stacks/replica/scripts/replica-init.sh,PGDATA path validation prevents dangerous operations,None
30,Security,VERIFIED,VERIFIED,OK,stacks/replica/scripts/replica-init.sh,Replication slot name validation prevents SQL injection,None
31,Security,VERIFIED,VERIFIED,OK,stacks/primary/scripts/pgbouncer-entrypoint.sh,Umask enforcement verified (077),None
32,Security,VERIFIED,VERIFIED,OK,docker/postgres/extensions.manifest.json,SHA-pinned extension builds prevent tag poisoning,None
33,Security,VERIFIED,VERIFIED,OK,Dockerfile,PGDG GPG-signed packages verified,None
34,Security,VERIFIED,VERIFIED,OK,docker/postgres/configs/postgresql-base.conf,Minimal default preload verified,None
35,Security,VERIFIED,VERIFIED,OK,Dockerfile,Data checksums enabled by default,None
36,Security,VERIFIED,VERIFIED,OK,docker/postgres/configs/postgresql-base.conf,Logging configuration verified comprehensive,None
37,Documentation,FIXED,FIXED,OK,README.md,TLS enablement guide added,None
38,Documentation,FIXED,FIXED,OK,AGENTS.md,Init script order documented including pgsodium,None
39,Documentation,FIXED,FIXED,OK,AGENTS.md and docs,Memory allocation table corrections applied,None
40,Documentation,FIXED,FIXED,OK,Multiple files,timescaledb_toolkit size corrected 186MB→13MB,None
41,Documentation,FIXED,FIXED,OK,Multiple files,Memory allocation percentages standardized,None
42,Bug_Fix,FIXED,FIXED,OK,scripts/test/test-auto-config.sh,Undefined cleanup_test_container function removed,None
43,Bug_Fix,FIXED,FIXED,OK,docker/postgres/docker-auto-config-entrypoint.sh,listen_addresses honors POSTGRES_BIND_IP,None
44,Bug_Fix,FIXED,FIXED,OK,docker/postgres/docker-auto-config-entrypoint.sh,max_worker_processes capped at 64,None
45,Bug_Fix,FIXED,FIXED,OK,docker/postgres/docker-auto-config-entrypoint.sh,CPU core sanity check added,None
46,Configuration,FIXED,NOT_FIXED,CRITICAL,stacks/*/compose.yml,PostgreSQL healthcheck start_period claimed as 60s→120s but NOT implemented,MUST implement: change 60s to 120s in all 3 stacks
47,Configuration,FIXED,NOT_FIXED,CRITICAL,stacks/*/compose.yml,PgBouncer healthcheck timeout claimed as 5s→10s but NOT implemented,MUST implement: change 5s to 10s for pgbouncer in all 3 stacks
48,Enhancement,FIXED,FIXED,OK,stacks/primary/scripts/pgbouncer-entrypoint.sh,PGBOUNCER_SERVER_SSLMODE env-configurable,None
49,Enhancement,FIXED,FIXED,OK,stacks/primary/scripts/pgbouncer-entrypoint.sh,PgBouncer pool sizes env-configurable,None
50,Enhancement,FIXED,FIXED,OK,stacks/primary/.env.example,Missing env vars documented,None
51,Enhancement,FIXED,PARTIAL,High,README.md + AGENTS.md,!override YAML tag: code fixed but docs still misleading,Remove !override references from docs
52,Enhancement,FIXED,FIXED,OK,stacks/primary/.env.example,Password complexity guidance added,None
53,Optimization,FIXED,FIXED,OK,docker/postgres/extensions.runtime-packages.txt,Python3 removed from runtime,None
54,Optimization,FIXED,FIXED,OK,Dockerfile,PGDG .so libraries stripped,None
55,Optimization,FIXED,FIXED,OK,Dockerfile,apt-get clean in all RUN blocks,None
56,Security,FIXED,FIXED,OK,scripts/test/test-pgbouncer-healthcheck.sh,Hardcoded test credentials removed,None
57,Security,FIXED,FIXED,OK,docker/postgres/docker-entrypoint-initdb.d/03-pgsodium-init.sh,pgsodium hardened with search_path=pg_catalog,None
58,Security,FIXED,FIXED,OK,stacks/primary/scripts/pgbouncer-entrypoint.sh,PgBouncer healthcheck uses PGPASSWORD authentication,None
59,Monitoring,FIXED,FIXED,OK,docker/postgres/docker-auto-config-entrypoint.sh,Exact computed worker values logged,None
60,Monitoring,FIXED,FIXED,OK,docker/postgres/docker-auto-config-entrypoint.sh,Enhanced auto-config logging with detection source,None
